Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000069609	0.2983641132475958	2.5289237442943575	0.4080787777569844	6.693198475163979e-6	5.144320214434183e-5	TRUE
ENSMUSG00000019278	0.6574589007957248	2.4838685323884317	0.2219488372136425	6.93882171240814e-40	3.181769232390834e-38	TRUE
ENSMUSG00000099071	0.25710317471162286	2.466200377079132	0.3660685422811744	5.3811783630640116e-8	5.355517764979275e-7	TRUE
ENSMUSG00000028749	1.1630459509829498	2.4496674324323715	0.16495079490157627	7.700844667797625e-62	6.054869114979717e-60	TRUE
ENSMUSG00000100635	0.3421053903911497	2.4476250923568723	0.3096801332694041	1.1717744765753243e-14	1.9541508074685078e-13	TRUE
ENSMUSG00000115429	0.19487079700038726	2.446745923610835	0.4718695994452586	0.0029901656854305334	0.013764655013827481	TRUE
ENSMUSG00000099404	0.33776149977385894	2.4257012461308407	0.31043917126074877	4.15127297677404e-14	6.694871146179226e-13	TRUE
ENSMUSG00000059887	0.8710069560108455	2.398764028064193	0.18873137293249825	1.2637215351852002e-49	7.519805462200571e-48	TRUE
ENSMUSG00000115398	0.7485180082109556	2.398402335852403	0.20374616963925435	1.5253266810467222e-43	7.690030642065749e-42	TRUE
ENSMUSG00000115585	0.22389468395720857	2.3948046289970937	0.40368942985891365	3.8101800784220916e-5	2.6205028191406024e-4	TRUE
ENSMUSG00000114532	0.33188459511932633	2.392144522668768	0.3117294263507565	2.78709784889604e-13	4.276161369895416e-12	TRUE
ENSMUSG00000100827	0.41050606299164305	2.3647558975130467	0.27616377795006763	1.461261541764797e-19	3.151705744791185e-18	TRUE
ENSMUSG00000054146	0.7194382924915778	2.3579686947382568	0.2059944741834658	5.376318087944674e-41	2.522337398483002e-39	TRUE
ENSMUSG00000009075	14.780412080391834	2.3537370260805153	0.045089724528835994	0	0	TRUE
ENSMUSG00000110752	0.24263641444910744	2.351294690742236	0.3855902445987264	1.0766651244881605e-5	8.050596125782916e-5	TRUE
ENSMUSG00000001670	0.4292335468124963	2.3414615445047224	0.2688905965968425	1.1385304262895804e-20	2.6124533241554927e-19	TRUE
ENSMUSG00000021095	0.18447105708184336	2.335500728740893	0.4880045424484433	0.00989780429788615	0.039046459651313474	TRUE
ENSMUSG00000015401	0.7318785029251507	2.329830807466677	0.20295636180923576	4.876298073625006e-41	2.291537160956493e-39	TRUE
ENSMUSG00000032988	1.2731821261375023	2.328967735755095	0.1533875155927854	5.0629077522864035e-59	3.80173475240469e-57	TRUE
ENSMUSG00000041347	0.41026623288475744	2.3130069112595053	0.2730762465916919	4.708415304265049e-19	9.937670951752356e-18	TRUE
ENSMUSG00000023122	0.8107665251964828	2.2717829526313014	0.1902432295824279	2.024701471345255e-43	1.0189561447280801e-41	TRUE
ENSMUSG00000105907	0.18870420059278856	2.268803600133086	0.4628363434135291	0.005432096829299362	0.023157800601206535	TRUE
ENSMUSG00000094035	0.2175816602107327	2.2383941963555753	0.4052560677339304	2.47335004560641e-4	0.0014789038907624256	TRUE
ENSMUSG00000026841	9.294583210550883	2.207829790454347	0.05506748681821144	0	0	TRUE
ENSMUSG00000075420	0.22406207796305763	2.2006139738856394	0.39204079749561616	1.2000305521759094e-4	7.616651876780191e-4	TRUE
ENSMUSG00000054889	4.185605014000441	2.1625535695898925	0.08133529560731134	1.2443951968152738e-156	3.797947663054272e-154	TRUE
ENSMUSG00000097124	0.2944956091171754	2.1541866799466978	0.3513197853651341	2.038718876238166e-6	1.683158713878537e-5	TRUE
ENSMUSG00000009900	0.3441062504756684	2.152255483614398	0.29078097568703487	1.4767962308574771e-12	2.1518164382268292e-11	TRUE
ENSMUSG00000079644	0.644769716015498	2.1016408063687746	0.20617820984583654	1.7562509200050504e-31	6.1542501374596725e-30	TRUE
ENSMUSG00000097092	0.36485751577589826	2.09664664633144	0.27842008263494245	1.2090632363218462e-13	1.9044423362796493e-12	TRUE
ENSMUSG00000058488	8.594018651455627	2.093149376120257	0.06888094724127804	5.980976835574608e-204	2.7830171557532733e-201	TRUE
ENSMUSG00000085803	0.2922907779480565	2.0928036163604933	0.31446645344340035	1.167545056716164e-8	1.2477258618159487e-7	TRUE
ENSMUSG00000042372	1.0616964536559945	2.0865617591082817	0.15960812810084438	1.9591445723437926e-45	1.0472384094426782e-43	TRUE
ENSMUSG00000034796	20.455311049975013	2.0745648241447787	0.036082163476906425	0	0	TRUE
ENSMUSG00000105821	0.3171019567765801	2.067598437420372	0.38407286250153727	4.366312656508253e-5	2.972024423077464e-4	TRUE
ENSMUSG00000112663	1.1980585345826393	2.0631077905785444	0.14942960703453945	2.0152482676189306e-46	1.1150254742318855e-44	TRUE
ENSMUSG00000006777	0.5246409833742522	2.042771345185494	0.22849348082313103	4.0944640444575514e-23	1.0330423772256278e-21	TRUE
ENSMUSG00000117610	0.2259276448924218	2.0269340690233664	0.3970775843216473	8.065937435907766e-4	0.004283322136217138	TRUE
ENSMUSG00000097789	9.612084347031223	2.0201452585990873	0.05207508361456421	0	0	TRUE
