Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000001741	3.9142386346463995	1.3159196242318634	0.07286630782138946	5.353153582454707e-74	3.658052467837844e-72	TRUE
ENSMUSG00000047671	1.1188895696343426	1.3133487480257997	0.13729373103124815	8.772286487698143e-23	1.5840981597604717e-21	TRUE
ENSMUSG00000055078	13.386343053570425	1.3082294596304263	0.03909139156428854	1.2848163070233483e-246	6.258373175518601e-244	TRUE
ENSMUSG00000028004	5.336027640292428	1.3057685800488774	0.06197379766958022	1.314965622838162e-99	1.343032362207342e-97	TRUE
ENSMUSG00000043013	1.0258257422165429	1.3050906024806899	0.14365293596479267	8.102101860793907e-21	1.3693561303336464e-19	TRUE
ENSMUSG00000032289	5.628125347255548	1.3005289566563631	0.060588890714234275	3.582818942553514e-103	3.889303511525091e-101	TRUE
ENSMUSG00000039037	16.045802530724384	1.2975297004803148	0.03564975796608809	4.665581838769496e-291	2.7697518184720035e-288	TRUE
ENSMUSG00000025461	1.13966848128823	1.2876929521173919	0.13566592277709089	1.7583318254076803e-22	3.1542048807620114e-21	TRUE
ENSMUSG00000030905	14.523167541260898	1.278402027435848	0.03737727714033046	1.837384297208034e-257	9.695774859461396e-255	TRUE
ENSMUSG00000021553	1.1565621998242899	1.268472684736634	0.1343146113718955	2.76046163443699e-22	4.910158208745272e-21	TRUE
ENSMUSG00000017723	1.3845707300073389	1.2682329842148765	0.12262374647831274	3.5266431053194667e-026	7.258465771587639e-25	TRUE
ENSMUSG00000026051	3.6575879527369795	1.263893674220314	0.07520425647586541	1.7644211214254944e-64	1.0035541330455125e-62	TRUE
ENSMUSG00000063354	1.5996184863396439	1.2612332058147269	0.11373477528942225	1.126251624226283e-29	2.628427777079447e-28	TRUE
ENSMUSG00000057378	12.010703661726469	1.2574250222013184	0.041344060097405544	1.5275097100271678e-204	4.836350326897685e-202	TRUE
ENSMUSG00000026065	3.008683946911044	1.2500564920535617	0.08246926295839822	5.169720445434668e-53	2.3438944940792932e-51	TRUE
ENSMUSG00000022861	12.165077415242168	1.2382634418920881	0.04063410034663067	4.178480130975296e-205	1.3685963284161673e-202	TRUE
ENSMUSG00000025488	1.1563031863261268	1.2318352046883743	0.13369666631283034	2.4158457010243836e-21	4.1495317163074335e-20	TRUE
ENSMUSG00000023043	1.8256721528096018	1.2284669869484106	0.10598919531019214	3.6007163198967143e-32	9.243622693118633e-31	TRUE
ENSMUSG00000030583	11.974499187296663	1.2224682408152638	0.04113741048667758	1.8320875212703725e-195	5.354487175626656e-193	TRUE
ENSMUSG00000038756	1.3657304908046182	1.2089624417289067	0.12245788330445283	4.2642975653569236e-24	8.044574066443443e-23	TRUE
ENSMUSG00000037984	13.243307845298208	1.200540174481617	0.03875799923275326	8.300855505217068e-212	2.867115491501975e-209	TRUE
ENSMUSG00000025885	10.13392450589434	1.196032698724515	0.04428958102062411	1.058374272105068e-161	2.2847654599068155e-159	TRUE
ENSMUSG00000032373	5.990675387782898	1.1915092062858572	0.0579826565844401	1.4925166501852636e-96	1.4767363960192424e-94	TRUE
ENSMUSG00000050074	2.5405979518393336	1.1880781399817522	0.08914416576318263	1.280348704290556e-41	4.252235023672674e-40	TRUE
ENSMUSG00000003573	4.91084099309206	1.182715455918451	0.06360494138697963	2.935423118055774e-78	2.212866387845458e-76	TRUE
ENSMUSG00000046886	1.20597735617047	1.180386862592796	0.13009143661664052	8.699296636042886e-21	1.4676779591021908e-19	TRUE
ENSMUSG00000021848	2.6275281625450813	1.1795934656124396	0.08761801999924029	2.0234843021771358e-42	6.852073313450811e-41	TRUE
ENSMUSG00000034040	13.869378069716321	1.171571045725235	0.037732415431699876	9.400806175082637e-213	3.3071687945934234e-210	TRUE
ENSMUSG00000020932	25.413101757541092	1.171205478886419	0.02926190564478484	0	0	TRUE
ENSMUSG00000053117	1.4319557645516208	1.1617112700618368	0.11893766473333676	1.192738012030105e-23	2.225780355062466e-22	TRUE
ENSMUSG00000046415	1.4403109454339411	1.154995749476651	0.11841543673798546	1.3634792754309675e-23	2.531966353407829e-22	TRUE
ENSMUSG00000025810	6.885942457614772	1.1518267278333012	0.05347750657290877	5.449846584531211e-104	6.1260790275940486e-102	TRUE
ENSMUSG00000035954	23.53636131495656	1.150844124628797	0.02888494301112872	0	0	TRUE
ENSMUSG00000048108	5.897834201472833	1.1475205941961346	0.05868364443645878	1.2993529532744128e-84	1.037134792157732e-82	TRUE
ENSMUSG00000048070	1.523058256525945	1.1466114887599288	0.11500262579444591	1.5937491316355927e-24	3.067523024689093e-23	TRUE
ENSMUSG00000027570	5.694303139594432	1.1288719060961339	0.05943884579839773	3.1840737307787163e-81	2.4588556367318403e-79	TRUE
ENSMUSG00000025558	23.677687447710877	1.1279064901989757	0.028719639258099828	0	0	TRUE
ENSMUSG00000019230	2.882645448629182	1.125738559124851	0.08304498363605722	5.749246160294875e-43	1.9714517925473235e-41	TRUE
ENSMUSG00000018334	11.476394149134451	1.1239635821469014	0.041254110320596477	9.741927669328292e-165	2.1519465108631344e-162	TRUE
ENSMUSG00000039239	5.377065308518468	1.1224688523051	0.06064875742171967	1.4206785552491884e-77	1.0583776672183856e-75	TRUE
ENSMUSG00000100916	1.0738875243309522	1.1206817186475952	0.13759900444533393	2.86927059741327e-17	4.151373460705247e-16	TRUE
ENSMUSG00000001827	3.0833388361525715	1.1125665689882334	0.08031517165229082	9.519397077772082e-45	3.424999740273413e-43	TRUE
ENSMUSG00000100546	1.2555962073968825	1.1112263770052393	0.12654020176294717	1.217494408419487e-19	1.946863743833754e-18	TRUE
ENSMUSG00000048442	1.2576721525679344	1.1039375024470042	0.12634283064109444	1.7988555406841819e-19	2.850113319964754e-18	TRUE
ENSMUSG00000059901	1.4544429345943752	1.1010448088248073	0.11712365667850415	4.1495919769570316e-22	7.29905544317155e-21	TRUE
ENSMUSG00000031893	1.2969138754266043	1.0969400415656305	0.12435867635901579	8.597649312838591e-20	1.3841486779321586e-18	TRUE
ENSMUSG00000036169	3.062146076334825	1.0929803554876292	0.08033056194615643	2.7490607187623746e-43	9.51255127036955e-42	TRUE
ENSMUSG00000070473	1.009142836910774	1.089868558506361	0.14141477680546502	9.695848581284403e-16	1.2800002466897832e-14	TRUE
ENSMUSG00000036687	1.1461341768876945	1.0795709565687228	0.1325069520718677	2.7855872070615603e-017	4.0364454746413775e-16	TRUE
ENSMUSG00000030450	1.661838940202117	1.0736237845896959	0.10932186451713811	8.27623236357918e-24	1.5490008493686078e-22	TRUE
ENSMUSG00000102260	1.166618297703054	1.0722680272528962	0.13096798221180525	1.9836134761158807e-17	2.891995794763882e-16	TRUE
ENSMUSG00000038793	2.2354941934141506	1.0707337935018009	0.09388178622942883	3.096286641638674e-31	7.6389814715857e-30	TRUE
ENSMUSG00000048583	13.22166163814565	1.0694562839211568	0.04825039754954325	4.9970039574897914e-110	6.0851336013098436e-108	TRUE
ENSMUSG00000020848	8.355619796439457	1.0688797769154108	0.048070473398325646	1.2380392457286466e-110	1.5371916046475228e-108	TRUE
ENSMUSG00000007888	2.726695853601215	1.067309147270835	0.08489361284481176	2.4460412894319065e-37	7.260538496146551e-36	TRUE
ENSMUSG00000046242	1.2244711678226339	1.0666189505476582	0.12760089791668597	4.765588089689809e-18	7.100539367830377e-17	TRUE
ENSMUSG00000043020	1.5727327035679226	1.0582686412023588	0.11219600306100384	3.0483657491867107e-22	5.4070778839682486e-21	TRUE
ENSMUSG00000050122	2.68305417600605	1.0467301578595873	0.085394580295374	1.2758629381021382e-35	3.6392745097787263e-34	TRUE
ENSMUSG00000000739	1.8069004121702492	1.0396353947571546	0.10431286139627872	1.6387093557652713e-24	3.1476806503005925e-23	TRUE
ENSMUSG00000044772	1.2183730641741939	1.0329059718721472	0.12753870149622137	4.177632781543951e-17	5.99414576669112e-16	TRUE
ENSMUSG00000041481	1.456813773347538	1.0296104900118663	0.11630484412180969	6.46372065582254e-20	1.0450323514779643e-18	TRUE
ENSMUSG00000021556	7.264334185923988	1.027147259657071	0.05134327015424109	3.784386383706976e-90	3.3129948447595125e-88	TRUE
ENSMUSG00000079323	1.2246481528721687	1.0221625042652263	0.12720509558701237	7.000622815912256e-17	9.954403565410563e-16	TRUE
ENSMUSG00000041957	4.457035049820925	1.0174664870758456	0.06557011328921297	2.1121833255891707e-55	9.956612068540317e-54	TRUE
ENSMUSG00000097178	2.1463289090203146	1.0169758853461175	0.09531368329059067	1.0966194159779706e-27	2.4055980421863173e-26	TRUE
ENSMUSG00000067786	22.583818412864815	1.014987721096936	0.02945857479071236	1.4182039591471572e-261	7.697605889119585e-259	TRUE
ENSMUSG00000074768	1.21212760298843	1.0101382537187604	0.12773187731332505	1.961832922077502e-16	2.688956711450671e-15	TRUE
ENSMUSG00000028785	62.917062745217166	1.005508746294852	0.017372494790553198	0	0	TRUE
ENSMUSG00000032246	2.4844164547029406	1.004166294891883	0.08847227288646622	5.882531601448631e-31	1.4308636726340544e-29	TRUE
ENSMUSG00000019929	6.3962952208472625	1.0029682714155332	0.05487664126798008	1.1838326245764935e-75	8.391518048164049e-74	TRUE
ENSMUSG00000019848	2.063623407042897	0.998210835068406	0.09711882148574025	6.834242826066278e-26	1.3960226985675385e-24	TRUE
ENSMUSG00000037738	1.5001660907608814	0.995960146779352	0.11423341883295533	2.1512992923499032e-19	3.397193072050799e-18	TRUE
ENSMUSG00000024112	11.412397528488343	0.992227421191048	0.041082860876689886	5.412146856030096e-130	8.497070563967251e-128	TRUE
ENSMUSG00000038463	4.425679419354884	0.9839279468692445	0.0655830371199353	5.604468674618687e-52	2.4531818297633916e-50	TRUE
ENSMUSG00000085715	1.1211522294608447	0.9821235625440782	0.13260063769137165	9.676296531014674e-15	1.2117376743552128e-13	TRUE
ENSMUSG00000022231	9.568489522635193	0.9818671309747419	0.04478143972902515	1.0703632671195953e-107	1.2551661102142563e-105	TRUE
ENSMUSG00000054134	1.3838912949072677	0.9801460783801924	0.11892429979126617	1.2844121369768067e-17	1.8841681363821158e-16	TRUE
ENSMUSG00000056752	4.104378135633971	0.9721782132989686	0.06842698147870396	6.529606221639046e-47	2.5109904735319222e-45	TRUE
ENSMUSG00000079436	3.1433513669363142	0.9705144152561674	0.07842280311584754	2.7848153870412775e-36	8.076814947728725e-35	TRUE
ENSMUSG00000055235	2.2128055742304307	0.9694883163413213	0.09353326599857201	2.7920578946249613e-26	5.790472033208557e-25	TRUE
ENSMUSG00000026062	4.380041231644787	0.9661452553609489	0.06581047125751106	6.2604494307888985e-050	2.5910622622374012e-48	TRUE
ENSMUSG00000020524	57.83199977743474	0.9629227337595295	0.01804257552173694	0	0	TRUE
ENSMUSG00000027217	3.3419824876203696	0.9588728162054772	0.07578272269822484	8.493668371923228e-38	2.5693346825067765e-36	TRUE
ENSMUSG00000005465	1.3239087758772141	0.957493667867604	0.1214057096192111	2.3426800033177826e-16	3.2017188505775476e-15	TRUE
ENSMUSG00000038987	1.1538829512195838	0.9546395508502822	0.1305000231331576	1.9301460226676473e-14	2.3717324704150907e-13	TRUE
ENSMUSG00000106692	1.4605993449148706	0.9533571216922524	0.11533523092287937	1.057012798979729e-17	1.5578023384187673e-16	TRUE
ENSMUSG00000028011	2.200471899300979	0.9506666892339267	0.09357304457248027	2.3472125550557905e-25	4.674003868804492e-24	TRUE
ENSMUSG00000049892	4.226488072234094	0.9497001339673443	0.06689805288156493	7.09273150217354e-47	2.7220327342786008e-45	TRUE
ENSMUSG00000097961	1.7430408128021913	0.949145576575926	0.15377979584600904	4.314988967927961e-11	4.280514121343471e-10	TRUE
ENSMUSG00000092274	17.104883520528155	0.9466044663857078	0.03351535096234146	1.574617444457608e-176	3.8350009733796386e-174	TRUE
ENSMUSG00000030559	1.4337106703614535	0.9380357633179616	0.1163766365884809	5.800055908999199e-17	8.290719496106681e-16	TRUE
ENSMUSG00000066406	9.123837623376314	0.9349948691476989	0.04568737279010146	3.513476607863538e-94	3.304233421761566e-92	TRUE
ENSMUSG00000050822	4.49563904659605	0.9334132533713095	0.06509279264906132	2.736422716471422e-48	1.0829962988501586e-46	TRUE
ENSMUSG00000006958	8.468293073480694	0.9322570242552631	0.04709382082597843	2.616207836570113e-88	2.179828959268528e-86	TRUE
ENSMUSG00000010492	1.1687490977989972	0.9260475095510229	0.12937102333834946	6.187614595495049e-14	7.378914907132419e-13	TRUE
ENSMUSG00000005672	9.843636077889114	0.9209796814426288	0.04362034240134193	4.858551598260739e-100	5.0161904734869156e-98	TRUE
ENSMUSG00000031565	11.328633400058028	0.9181533362729527	0.04064109448737683	3.4469298045705035e-114	4.336511622346084e-112	TRUE
ENSMUSG00000031786	2.911040011088409	0.9176559156652814	0.0810311129124582	7.820699360062784e-31	1.892258683924742e-29	TRUE
ENSMUSG00000109844	1.3675384035345057	0.9135887581896833	0.11903435337523438	1.260357587306069e-15	1.6512422817967856e-14	TRUE
ENSMUSG00000044164	4.900104930567733	0.9110089798817277	0.06188312087811127	3.8152333066084443e-050	1.585951578241589e-48	TRUE
ENSMUSG00000028360	5.532188222170616	0.9107932391886655	0.058528568212448125	1.04876565985656e-55	4.968429236981314e-54	TRUE
ENSMUSG00000024873	19.035104403738245	0.9040480400943451	0.03129026805359508	1.2099256131928996e-184	3.192355121364655e-182	TRUE
ENSMUSG00000064201	2.316108813423776	0.8997833463204542	0.09080454249330781	3.0169262139317748e-24	5.73699172032652e-23	TRUE
ENSMUSG00000004655	2.987597633927942	0.893342238065688	0.0798950494200799	4.03770597609894e-30	9.600037600494563e-29	TRUE
ENSMUSG00000027748	5.6726856175862865	0.8921815407873323	0.05738965884036817	1.370292415113773e-55	6.475483833312523e-54	TRUE
ENSMUSG00000028289	13.189973469345862	0.8908939146390337	0.037562460224333384	1.9385931895135525e-125	2.789958698574921e-123	TRUE
ENSMUSG00000027070	1.7322031266476978	0.8888639373764393	0.10526515741554764	2.091723361434107e-18	3.1789174957730986e-17	TRUE
ENSMUSG00000021091	4.654806823698682	0.88868071425027	0.063736964350794	2.798441802772186e-45	1.0243159716235688e-43	TRUE
ENSMUSG00000002565	1.2514415265201322	0.8884490594219812	0.12441062269836199	7.018569758118747e-14	8.34366518742064e-13	TRUE
ENSMUSG00000020681	6.2210633298729094	0.8861082857591865	0.055453099487080465	1.4399575439178516e-58	7.333746236409498e-57	TRUE
ENSMUSG00000039747	12.907717464110005	0.8721651897199495	0.037906438767702305	2.795354888428425e-118	3.687733112185749e-116	TRUE
ENSMUSG00000091556	1.6121280354064784	0.8719677193536206	0.10909754637557145	1.0267460799172036e-16	1.4437524263647014e-15	TRUE
ENSMUSG00000054027	22.408396313811355	0.8643629146750479	0.028731301896936345	6.580907940077609e-200	2.0164114215750698e-197	TRUE
ENSMUSG00000003746	8.163421378178606	0.864083592183722	0.04767694038663515	1.7044060317147722e-74	1.1689025770572393e-72	TRUE
ENSMUSG00000049281	19.395718195384738	0.8513999586347855	0.030852519093530352	1.0589076100143573e-168	2.3947699842193747e-166	TRUE
